t_min,t_max
52621.9085065,52621.9154631
52621.9193398,52621.9262964
52621.9644439,52621.9714005
52622.962245,52622.9694331
52623.0327772,52623.0399653
52624.4080087,52624.4149653
52624.4230784,52624.4300349
52624.4315969,52624.4385534
52625.2755087,52625.2824653
52625.2905784,52625.2975349
52625.2990969,52625.3060534
52625.4756939,52625.4826505
52625.4907635,52625.4977201
52625.499282,52625.5062386
52626.2096987,52626.2166553
52626.224768,52626.2317246
52626.2332865,52626.2402431
52630.868275,52630.8687294
52633.8023258,52633.8066783
52640.9405669,52640.9458686
52645.1741087,52645.1814153
52646.6755206,52646.6815516
52647.8719443,52647.8726508
52648.0161109,52648.0161268
52648.6347335,52648.6405327
52649.2403702,52649.2410794
52649.8573843,52649.8643408
52649.8659028,52649.8728594
52649.8744213,52649.8813779
52650.0152083,52650.0195605
52652.8091087,52652.8105586
52658.8914813,52658.8958338
52659.8257058,52659.8300583
52659.8922917,52659.8966438
52659.9550346,52659.9593868
52660.693148,52660.6975005
52660.7599998,52660.7643523
52660.8255206,52660.8298731
52660.8929398,52660.8972909
52661.8274421,52661.8317942
52661.8882521,52661.8926046
52664.8244561,52664.825906
52664.889711,52664.8940635
52670.6335421,52670.6378942
52670.6941669,52670.6985194
52670.7667828,52670.7711349
52670.8329169,52670.8372694
52670.8997109,52670.904062
52671.3623498,52671.3637985
52671.8280558,52671.8324083
52671.9005791,52671.9049312
52672.5631021,52672.564552
52672.8860187,52672.8864731
52675.2313543,52675.2328042
52675.4981702,52675.4996201
52679.7724654,52679.7768179
52679.9582524,52679.9635542
52681.397535,52681.4044916
52681.4060535,52681.4130101
52681.4145721,52681.4214475
52682.6413313,52682.6456834
52683.5692595,52683.5752901
52688.8987272,52688.9068412
52688.9084032,52688.9165171
52688.9180791,52688.9261931
52689.097431,52689.1055449
52689.1071069,52689.1152208
52689.1167828,52689.1248968
52689.5433888,52689.5492471
52689.5556717,52689.5626283
52689.5641902,52689.5711468
52694.2246876,52694.2303249
52694.2621413,52694.2690983
52694.2706598,52694.2776164
52694.9822339,52694.9865864
